month_year,adm0_id,adm0_name,adm1_id,adm1_name,mkt_id,mkt_name,cm_id,cm_name,cur_id,cur_name,pt_id,pt_name,um_id,um_name,mp_price
1-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,5941.9752
2-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6445.0
3-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6414.0
4-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6083.0
5-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,5955.0
6-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,5949.0
7-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,5944.0
8-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,5965.0
9-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,5977.0
10-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,5981.0
11-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,5985.0
12-2007,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6147.0
1-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6405.0
2-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6375.0
3-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6221.0
4-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6132.0
5-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6253.0
6-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6406.0
7-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6405.0
8-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6404.0
9-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6436.0
10-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6440.0
11-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6441.0
12-2008,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6504.0
1-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6591.0
2-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6725.0
3-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6706.0
4-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6643.0
5-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6641.0
6-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6640.0576
7-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6640.1843
8-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6658.7768
9-2009,116.0,Indonesia,0,,974,National Average,52,Rice - Retail,0.0,IDR,15,Retail,5,KG,6699.3953
